song_idx,song,artist,decade,topic
0,Poor Little Fool,Ricky Nelson,1950,Lost Love
1,Nel Blu Dipinto Di Blu,Domenico Modugno,1950,Flying
1,Nel Blu Dipinto Di Blu,Domenico Modugno,1950,Dreaming
2,Little Star,The Elegants,1950,Longing for Love
3,It's All in the Game,Tommy Edwards,1950,Love
4,It's Only Make Believe,Conway Twitty,1950,Lost Love
5,Tom Dooley,The Kingston Trio,1950,Murder
5,Tom Dooley,The Kingston Trio,1950,Death
6,To Know Him is to Love Him,The Teddy Bears,1950,Longing for Love
7,The Chipmunk Song,The Chipmunks,1950,Christmas
8,Smoke Gets in Your Eyes,The Platters,1950,Lost Love
9,Stagger Lee,Lloyd Price,1950,Murder
9,Stagger Lee,Lloyd Price,1950,Death
10,Venus,Frankie Avalon,1950,Longing for Love
11,Come Softly to Me,The Fleetwoods,1950,Longing for Love
13,Kansas City,Wilbert Harrison,1950,Lust/Sex
14,The Battle of New Orleans,Johnny Horton,1950,War
15,Lonely Boy,Paul Anka,1950,Longing for Love
16,Big Hunk o' Love,Elvis Presley,1950,Lust/Sex
17,The Three Bells (Les Trois Cloches),The Browns,1950,Life
17,The Three Bells (Les Trois Cloches),The Browns,1950,Death
19,Mack the Knife,Bobby Darin,1950,Murder
19,Mack the Knife,Bobby Darin,1950,Death
20,Mr. Blue,The Fleetwoods,1950,Lost Love
21,Heartaches by the Number,Guy Mitchell,1950,Lost Love
22,Why,Frankie Avalon,1950,Love
23,El Paso,Marty Robbins,1960,Love
23,El Paso,Marty Robbins,1960,Murder
23,El Paso,Marty Robbins,1960,Death
24,Running Bear,Johnny Preston,1960,Love
24,Running Bear,Johnny Preston,1960,Death
25,Teen Angel,Mark Dinning,1960,Love
25,Teen Angel,Mark Dinning,1960,Death
27,Stuck on You,Elvis Presley,1960,Lust/Sex
28,Cathy's Clown,The Everly Brothers,1960,Bad Relationships
28,Cathy's Clown,The Everly Brothers,1960,Lost Love
29,Everybody's Somebody's Fool,Connie Francis,1960,Bad Relationships
29,Everybody's Somebody's Fool,Connie Francis,1960,Lost Love
30,Alley Oop,The Hollywood Argyles,1960,Bad Behavior
31,I'm Sorry,Brenda Lee,1960,Lost Love
32,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,Brian Hyland,1960,Shyness
33,It's Now or Never,Elvis Presley,1960,Love
34,The Twist,Chubby Checker,1960,Dancing
35,My Heart Has A Mind Of Its Own,Connie Francis,1960,Lost Love
36,Mr. Custer,Larry Verne,1960,War
37,Save the Last Dance for Me,The Drifters,1960,Love
38,I Want to Be Wanted (Per Tutta La Vita),Brenda Lee,1960,Longing for Love
39,Georgia on My Mind,Ray Charles,1960,Home
39,Georgia on My Mind,Ray Charles,1960,Love
40,Stay,Maurice Williams & the Zodiacs,1960,Love
41,Are You Lonesome Tonight?,Elvis Presley,1960,Lost Love
41,Are You Lonesome Tonight?,Elvis Presley,1960,Longing for Love
43,Will You Love Me Tomorrow,The Shirelles,1960,Love
45,Pony Time,Chubby Checker,1960,Dancing
46,Surrender,Elvis Presley,1960,Lust/Sex
47,Blue Moon,The Marcels,1960,Longing for Love
47,Blue Moon,The Marcels,1960,Love
48,Runaway,Del Shannon,1960,Lost Love
49,Mother-in-Law,Ernie K-Doe,1960,Anger
49,Mother-in-Law,Ernie K-Doe,1960,Family
50,Travelin' Man,Ricky Nelson,1960,Lust/Sex
51,Running Scared,Roy Orbison,1960,Love
52,Moody River,Pat Boone,1960,Death
52,Moody River,Pat Boone,1960,Love
53,Quarter to Three,Gary U.S. Bonds,1960,Partying
54,Tossin' and Turnin',Bobby Lewis,1960,Insomnia
54,Tossin' and Turnin',Bobby Lewis,1960,Lost Love
55,Wooden Heart,Joe Dowell,1960,Love
56,Michael,The Highwaymen,1960,God
57,Take Good Care of My Baby,Bobby Vee,1960,Lost Love
58,Hit the Road Jack,Ray Charles,1960,Lost Love
59,Runaround Sue,Dion,1960,Lost Love
60,Big Bad John,Jimmy Dean,1960,Work
60,Big Bad John,Jimmy Dean,1960,Death
61,Please Mr. Postman,The Marvelettes,1960,Lost Love
61,Please Mr. Postman,The Marvelettes,1960,Love
63,Peppermint Twist,Joey Dee & the Starliters,1960,Dancing
64,Duke of Earl,Gene Chandler,1960,Love
65,Hey! Baby,Bruce Channel,1960,Longing for Love
66,Don't Break the Heart that Loves You,Connie Francis,1960,Lost Love
67,Johnny Angel,Shelley Fabares,1960,Longing for Love
68,Good Luck Charm,Elvis Presley,1960,Longing for Love
69,Soldier Boy,The Shirelles,1960,Love
71,I Can't Stop Loving You,Ray Charles,1960,Lost Love
73,Roses are Red (My Love),Bobby Vinton,1960,Love
74,Breaking Up is Hard to Do,Neil Sedaka,1960,Lost Love
75,The Loco-motion,Little Eva,1960,Dancing
76,Sheila,Tommy Roe,1960,Love
77,Sherry,Frankie Valli & the Four Seasons,1960,Love
78,Monster Mash,"Bobby ""Boris"" Pickett & the Crypt-Kickers",1960,Partying
78,Monster Mash,"Bobby ""Boris"" Pickett & the Crypt-Kickers",1960,Dancing
79,He's a Rebel,The Crystals,1960,Love
79,He's a Rebel,The Crystals,1960,Bad Behavior
80,Big Girls Don't Cry,Frankie Valli & the Four Seasons,1960,Lost Love
82,Go Away Little Girl,Steve Lawrence,1960,Longing for Love
82,Go Away Little Girl,Steve Lawrence,1960,Forbidden Love
83,Walk Right In,The Rooftop Singers,1960,Lust/Sex
84,Hey Paula,Paul & Paula,1960,Love
85,Walk Like a Man,Frankie Valli & the Four Seasons,1960,Bad Relationships
85,Walk Like a Man,Frankie Valli & the Four Seasons,1960,Lost Love
86,Our Day Will Come,Ruby & the Romantics,1960,Love
87,He's So Fine,The Chiffons,1960,Longing for Love
88,I Will Follow Him,Little Peggy March,1960,Love
89,If You Wanna Be Happy,Jimmy Soul,1960,Marriage
89,If You Wanna Be Happy,Jimmy Soul,1960,Love
90,It's My Party,Lesley Gore,1960,Lost Love
91,Sukiyaki,Kyu Sakamoto,1960,Lost Love
92,Easier Said Than Done,The Essex,1960,Longing for Love
93,Surf City,Jan & Dean,1960,Surfing/Sailing
93,Surf City,Jan & Dean,1960,Partying
93,Surf City,Jan & Dean,1960,Utopia/Perfect Places
94,So Much in Love,The Tymes,1960,Love
96,My Boyfriend's Back,The Angels,1960,Love
96,My Boyfriend's Back,The Angels,1960,Violence
96,My Boyfriend's Back,The Angels,1960,Lust/Sex
97,Blue Velvet,Bobby Vinton,1960,Lost Love
98,Sugar Shack,Jimmy Gilmer & the Fireballs,1960,Lust/Sex
98,Sugar Shack,Jimmy Gilmer & the Fireballs,1960,Better Times
98,Sugar Shack,Jimmy Gilmer & the Fireballs,1960,Utopia/Perfect Places
99,Deep Purple,Nino Tempo & April Stevens,1960,Lost Love
99,Deep Purple,Nino Tempo & April Stevens,1960,Dreaming
100,I'm Leaving it Up to You,Dale & Grace,1960,Lost Love
101,Dominique,The Singing Nun,1960,God
102,There! I've Said It Again,Bobby Vinton,1960,Love
103,I Want To Hold Your Hand,The Beatles,1960,Love
104,She Loves You,The Beatles,1960,Love
105,Can't Buy Me Love,The Beatles,1960,Love
106,"Hello, Dolly!",Louis Armstrong,1960,Love
107,My Guy,Mary Wells,1960,Love
107,My Guy,Mary Wells,1960,Faithfulness
108,Love Me Do,The Beatles,1960,Longing for Love
109,Chapel of Love,The Dixie Cups,1960,Love
109,Chapel of Love,The Dixie Cups,1960,Marriage
110,A World Without Love,Peter & Gordon,1960,Love
110,A World Without Love,Peter & Gordon,1960,Lost Love
111,I Get Around,The Beach Boys,1960,Lust/Sex
111,I Get Around,The Beach Boys,1960,Driving
112,Rag Doll,Frankie Valli & the Four Seasons,1960,Love
112,Rag Doll,Frankie Valli & the Four Seasons,1960,Poverty
112,Rag Doll,Frankie Valli & the Four Seasons,1960,Forbidden Love
113,A Hard Day's Night,The Beatles,1960,Lust/Sex
113,A Hard Day's Night,The Beatles,1960,Work
114,Everybody Loves Somebody,Dean Martin,1960,Love
115,Where Did Our Love Go,The Supremes,1960,Lost Love
116,House of the Rising Sun,The Animals,1960,Sin
116,House of the Rising Sun,The Animals,1960,Regret
117,"Oh, Pretty Woman",Roy Orbison,1960,Love
117,"Oh, Pretty Woman",Roy Orbison,1960,Lust/Sex
118,Do Wah Diddy Diddy,Manfred Mann,1960,Love
118,Do Wah Diddy Diddy,Manfred Mann,1960,Lust/Sex
119,Baby Love,The Supremes,1960,Lost Love
120,Leader of the Pack,The Shangri-Las,1960,Death
120,Leader of the Pack,The Shangri-Las,1960,Bad Behavior
120,Leader of the Pack,The Shangri-Las,1960,Driving
120,Leader of the Pack,The Shangri-Las,1960,Forbidden Love
121,Ringo,Lorne Greene,1960,Death
121,Ringo,Lorne Greene,1960,Good vs. Evil
122,Mr. Lonely,Bobby Vinton,1960,Lonesomeness
122,Mr. Lonely,Bobby Vinton,1960,War
123,Come See About Me,The Supremes,1960,Lost Love
124,I Feel Fine,The Beatles,1960,Love
125,Downtown,Petula Clark,1960,Utopia/Perfect Places
126,You've Lost That Lovin' Feelin',The Righteous Brothers,1960,Lost Love
127,This Diamond Ring,Gary Lewis & the Playboys,1960,Lost Love
128,My Girl,The Temptations,1960,Love
129,Eight Days a Week,The Beatles,1960,Love
130,Stop! In the Name of Love,The Supremes,1960,Lost Love
131,I'm Telling You Now,Freddie & the Dreamers,1960,Love
132,The Game of Love,Wayne Fontana & the Mindbenders,1960,Love
133,"Mrs. Brown, You've Got a Lovely Daughter",Herman's Hermits,1960,Love
134,Ticket to Ride,The Beatles,1960,Lost Love
135,"Help Me, Rhonda",The Beach Boys,1960,Lost Love
135,"Help Me, Rhonda",The Beach Boys,1960,Lust/Sex
136,Back in My Arms Again,The Supremes,1960,Love
137,I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,1960,Love
137,I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,1960,Lost Love
138,Mr. Tambourine Man,The Byrds,1960,God
138,Mr. Tambourine Man,The Byrds,1960,Faithfulness
139,(I Can't Get No) Satisfaction,The Rolling Stones,1960,Lust/Sex
139,(I Can't Get No) Satisfaction,The Rolling Stones,1960,Anger
139,(I Can't Get No) Satisfaction,The Rolling Stones,1960,Restlessness
140,"I'm Henry VIII, I Am",Herman's Hermits,1960,Marriage
141,I Got You Babe,Sonny & Cher,1960,Love
142,Help!,The Beatles,1960,Pain
143,Eve of Destruction,Barry McGuire,1960,War
143,Eve of Destruction,Barry McGuire,1960,Violence
143,Eve of Destruction,Barry McGuire,1960,Dystopia
144,Hang On Sloopy,The McCoys,1960,Love
145,Yesterday,The Beatles,1960,Lost Love
146,Get Off Of My Cloud,The Rolling Stones,1960,Anger
146,Get Off Of My Cloud,The Rolling Stones,1960,Restlessness
147,I Hear a Symphony,The Supremes,1960,Love
148,Turn! Turn! Turn! (To Everything There is a Season),The Byrds,1960,Time
149,Over and Over,The Dave Clark Five,1960,Lost Love
149,Over and Over,The Dave Clark Five,1960,Longing for Love
150,The Sound of Silence,Simon & Garfunkel,1960,Restlessness
150,The Sound of Silence,Simon & Garfunkel,1960,Lonesomeness
151,We Can Work it Out,The Beatles,1960,Love
151,We Can Work it Out,The Beatles,1960,Bad Relationships
152,My Love,Petula Clark,1960,Love
153,Lightnin' Strikes,Lou Christie,1960,Lust/Sex
154,These Boots are Made for Walkin',Nancy Sinatra,1960,Respect
154,These Boots are Made for Walkin',Nancy Sinatra,1960,Bad Relationships
154,These Boots are Made for Walkin',Nancy Sinatra,1960,Empowerment
154,These Boots are Made for Walkin',Nancy Sinatra,1960,Infidelity
155,The Ballad of the Green Berets,SSgt. Barry Sadler,1960,War
155,The Ballad of the Green Berets,SSgt. Barry Sadler,1960,Death
156,(You're My) Soul and Inspiration,The Righteous Brothers,1960,Love
156,(You're My) Soul and Inspiration,The Righteous Brothers,1960,Lost Love
