cache_key,found,query,track_name,artist_name,collection_name,preview_url,artwork_url,track_view_url,source
#3::aphex twin,True,#3 Aphex Twin Selected Ambient Works Volume II,#3,Aphex Twin,Selected Ambient Works Volume II (Expanded Edition),https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/fb/90/3e/fb903ed1-86be-ba52-2e37-e763a36cc10e/mzaf_3048793810368732776.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/13/31/00/133100f5-78d4-696d-93a1-e5f312203249/5056614797756.png/600x600bb.jpg,https://music.apple.com/us/album/3/1749665545?i=1749665548&uo=4,itunes
1 true love::4*town (from disney and pixar鈥檚 turning red) jordan fisher finneas o'connell topher ngo grayson villanueva josh levi,False,1 True Love 4*TOWN (From Disney and Pixar鈥檚 Turning Red) Jordan Fisher Finneas O'Connell Topher Ngo Grayson Villanueva Josh Levi Turning Red (Original Motion Picture Soundtrack),,,,,,,itunes
100 years::five for fighting,True,100 Years Five For Fighting The Battle for Everything,100 Years,Five for Fighting,The Battle for Everything,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/98/5f/0b/985f0b23-721f-31ac-aeb3-b274018bcf6d/mzaf_12440629981191506443.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/63/63/f4/6363f4c1-35c6-428f-8f4d-0862ae3dd3ff/886446838458.jpg/600x600bb.jpg,https://music.apple.com/us/album/100-years/1303805264?i=1303807078&uo=4,itunes
100% of disin' u::armando,False,100% Of Disin' U Armando Trax Classix,,,,,,,itunes
12 weeks::huglord,False,12 Weeks huglord 12 Weeks,,,,,,,itunes
12:51::krissy & ericka,False,12:51 krissy & ericka Twelve: Fifty One (International Version),,,,,,,itunes
3 days in kadik枚y::matt large,False,3 Days in Kadik枚y Matt Large 3 Days in Kadik枚y,,,,,,,itunes
4 million ways - general midi mix::general midi,False,4 Million Ways - General Midi Mix General Midi 4 Million Ways,,,,,,,itunes
40 miles from denver::yonder mountain string band,False,40 Miles from Denver Yonder Mountain String Band Elevation,,,,,,,itunes
93 million miles::jason mraz,True,93 Million Miles Jason Mraz Love Is a Four Letter Word,93 Million Miles,Jason Mraz,Love Is a Four Letter Word (Deluxe Version),https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/24/e1/ec/24e1ec92-ae06-5e34-198d-daf43f7e6137/mzaf_13274914157391185341.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/2c/ac/8a/2cac8ac4-cb90-ac44-0808-a8e3ccbe05d0/075679962577.jpg/600x600bb.jpg,https://music.apple.com/us/album/93-million-miles/509536557?i=509536634&uo=4,itunes
a bad dream that will pass away::luke howard,True,A Bad Dream That Will Pass Away Luke Howard A Bad Dream That Will Pass Away,A Bad Dream That Will Pass Away,Luke Howard,A Bad Dream That Will Pass Away - Single,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/72/0a/b6/720ab6f7-7ddb-ec64-171f-6d8d9d84af33/mzaf_8305679694943105412.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/cf/21/bd/cf21bd07-3522-27d5-f294-095fedd2f651/22UMGIM09730.rgb.jpg/600x600bb.jpg,https://music.apple.com/us/album/a-bad-dream-that-will-pass-away/1612739169?i=1612739185&uo=4,itunes
a dream is a wish your heart makes::disney peaceful piano disney,False,A Dream Is a Wish Your Heart Makes Disney Peaceful Piano Disney Disney Peaceful Piano: Lullaby,,,,,,,itunes
a drop in the ocean::ron pope,True,A Drop in the Ocean Ron Pope The Bedroom Demos,A Drop In the Ocean,Ron Pope,The Bedroom Demos,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/48/0c/86/480c866c-e9b6-9136-d6ca-67455e02dfd1/mzaf_17343118284428797380.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music/34/5f/35/mzi.omywmuag.jpg/600x600bb.jpg,https://music.apple.com/us/album/a-drop-in-the-ocean/284443933?i=284443941&uo=4,itunes
a letter to seymour::greensky bluegrass,False,A Letter to Seymour Greensky Bluegrass If Sorrows Swim,,,,,,,itunes
a long way::ensidya,False,A Long Way Ensidya A Long Way,,,,,,,itunes
a media luz - remastered::carlos gardel,False,A Media Luz - Remastered Carlos Gardel Selecci贸n Especial (Remastered),,,,,,,itunes
a rosa e o beija flor::yury press茫o,False,A Rosa E O Beija Flor Yury Press茫o De Gera莽茫o Pra Gera莽茫o,,,,,,,itunes
a ro莽a ou a cidade (da ro莽a pra cidade) - ao vivo::os bar玫es da pisadinha,False,A Ro莽a ou a Cidade (Da Ro莽a Pra Cidade) - Ao Vivo Os Bar玫es Da Pisadinha A Ro莽a ou a Cidade (Da Ro莽a Pra Cidade) [Ao Vivo],,,,,,,itunes
a short break::sail & weep,False,A short break Sail & Weep A short break,,,,,,,itunes
a star is born::cheryl freeman lachanze vaneese thomas lillias white roz ryan disney,False,A Star Is Born Cheryl Freeman LaChanze Vaneese Thomas Lillias White Roz Ryan Disney Hercules (Original Motion Picture Soundtrack),,,,,,,itunes
abre los ojos::germaine franco,False,Abre Los Ojos Germaine Franco Encanto (Original Motion Picture Soundtrack),,,,,,,itunes
acid thunder::fast eddie,False,Acid Thunder Fast Eddie Jack to the Sound,,,,,,,itunes
acid tracks::phuture,False,Acid Tracks Phuture Acid Tracks,,,,,,,itunes
affection::cigarettes after sex,True,Affection Cigarettes After Sex Affection,Keep on Loving You,Cigarettes After Sex,Affection - Single,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview128/v4/b6/c1/4c/b6c14c5c-7458-45cf-51ae-748acaac43af/mzaf_4277202337430779673.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/2f/8b/0f/2f8b0f19-8a25-b331-c52a-de8ec18b90d1/859715999853_Cover.jpg/600x600bb.jpg,https://music.apple.com/us/album/keep-on-loving-you/1266085857?i=1266085860&uo=4,itunes
afraid::the neighbourhood,True,Afraid The Neighbourhood I Love You.,Leaving Tonight,The Neighbourhood,I Love You. (10th Anniversary Edition),https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/90/ac/d7/90acd7dd-83dc-db82-09a9-2a3df55c47f2/mzaf_16845725258812983008.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/2f/8c/90/2f8c903f-6e84-b820-3ab6-d9ec0044267a/196871038430.jpg/600x600bb.jpg,https://music.apple.com/us/album/leaving-tonight/1682583963?i=1682584242&uo=4,itunes
after surf sandwich::breakfast for brunch,False,After Surf Sandwich Breakfast For Brunch Post It Beats Pt.1,,,,,,,itunes
agatha all along::kristen anderson-lopez robert lopez kathryn hahn eric bradley greg whipple jasper randall gerald white,False,Agatha All Along Kristen Anderson-Lopez Robert Lopez Kathryn Hahn Eric Bradley Greg Whipple Jasper Randall Gerald White WandaVision: Episode 7 (Original Soundtrack),,,,,,,itunes
agora estou sofrendo::calcinha preta gusttavo lima,False,Agora Estou Sofrendo Calcinha Preta Gusttavo Lima Agora Estou Sofrendo (Ao Vivo),,,,,,,itunes
agora::pablo,False,Agora Pablo 脡 S贸 Dizer Que Sim,,,,,,,itunes
aguante bonavena::almafuerte,False,Aguante Bonavena Almafuerte A Fondo Blanco,,,,,,,itunes
ain't no grave (sparse)::crooked still aoife o'donovan,False,Ain't No Grave (Sparse) Crooked Still Aoife O'Donovan Ain't No Grave,,,,,,,itunes
ain't no grave::crooked still,False,Ain't No Grave Crooked Still Shaken By A Low Sound,,,,,,,itunes
ain't talkin' 'bout dub::apollo 440,False,Ain't Talkin' 'Bout Dub Apollo 440 Electro Glide In Blue,,,,,,,itunes
ainda h谩 tempo::criolo,False,Ainda H谩 Tempo Criolo Ainda H谩 Tempo,,,,,,,itunes
al mundo le falta un tornillo::edmundo rivero orquesta de horacio salg谩n,False,Al Mundo Le Falta un Tornillo Edmundo Rivero Orquesta de Horacio Salg谩n Great Voices of Tango,,,,,,,itunes
al mundo le falta un tornillo::julio sosa armando pontier,False,Al Mundo Le Falta un Tornillo Julio Sosa Armando Pontier Tango Classics 180: La Ultima Copa,,,,,,,itunes
