track_genre,song_count,avg_popularity
acoustic,1000,42.483
ambient,999,44.208208208208205
cantopop,999,34.753753753753756
alt-rock,999,33.8968968968969
afrobeat,999,24.40740740740741
tango,999,19.866866866866868
forro,998,41.831663326653306
disney,998,27.487975951903806
study,998,26.128256513026052
bluegrass,998,25.681362725450903
chicago-house,998,12.33366733466934
sleep,997,35.042126379137414
heavy-metal,997,26.18355065195587
breakbeat,997,20.17151454363089
black-metal,996,22.431726907630523
anime,995,48.776884422110555
j-idol,995,24.61608040201005
happy,995,21.690452261306532
club,994,33.354124748490946
comedy,990,24.613131313131312
idm,990,15.522222222222222
malay,988,30.172064777327936
salsa,988,28.10931174089069
iranian,988,2.2246963562753037
kids,986,14.77079107505071
grindcore,985,14.521827411167513
honky-tonk,981,16.41080530071356
children,974,34.856262833675565
new-age,974,29.04722792607803
chill,972,53.73868312757202
deep-house,972,45.57304526748971
detroit-techno,956,11.130753138075313
drum-and-bass,955,26.73821989528796
dance,948,23.719409282700422
country,946,17.34566596194503
spanish,941,39.8990435706695
dancehall,939,34.95527156549521
blues,938,31.17910447761194
brazil,937,44.64567769477055
dub,933,40.32583065380493
emo,932,48.5
disco,928,33.9989224137931
world-music,923,41.53629469122427
k-pop,917,59.3587786259542
goth,907,29.016538037486217
trip-hop,904,34.38606194690266
romance,904,3.549778761061947
garage,901,40.61154273029967
death-metal,901,32.502774694783575
show-tunes,901,31.21198668146504
british,900,44.76888888888889
hardstyle,898,28.183741648106903
power-pop,891,27.08193041526375
french,890,41.08988764044944
guitar,886,29.373589164785553
minimal-techno,885,33.28361581920904
mandopop,873,45.07101947308133
turkish,870,40.50804597701149
classical,867,13.362168396770473
grunge,862,50.58700696055684
opera,852,24.372065727699532
pagode,845,45.585798816568044
industrial,845,32.467455621301774
hip-hop,842,42.42992874109264
folk,841,40.1640903686088
synth-pop,838,35.52625298329355
rock-n-roll,837,36.69892473118279
electronic,830,44.234939759036145
sertanejo,826,47.860774818401936
party,820,22.054878048780488
pop-film,815,59.09693251533742
piano,794,46.60831234256927
mpb,780,40.965384615384615
funk,767,34.3142112125163
swedish,766,36.4934725848564
j-dance,764,25.400523560209425
latin,759,9.855072463768115
hardcore,757,37.01321003963012
progressive-house,755,46.53774834437086
ska,746,35.7171581769437
indian,733,49.765347885402456
german,731,32.348837209302324
j-pop,728,37.18543956043956
metalcore,718,44.70891364902507
hard-rock,709,45.744710860366716
trance,708,38.55084745762712
edm,694,40.43948126801153
gospel,672,39.595238095238095
punk-rock,665,39.46466165413534
rockabilly,645,27.992248062015506
groove,636,35.52358490566038
psych-rock,635,39.588976377952754
samba,631,37.65451664025357
indie-pop,601,39.56073211314476
electro,596,34.330536912751676
sad,564,51.10992907801418
singer-songwriter,527,43.59203036053131
jazz,524,9.790076335877863
r-n-b,489,39.603271983640084
j-rock,460,36.89782608695652
soul,445,26.615730337078652
pop,416,41.94471153846154
techno,416,40.06009615384615
alternative,407,22.218673218673217
latino,398,51.78894472361809
rock,342,18.178362573099417
dubstep,268,39.1044776119403
reggae,256,24.83203125
metal,232,56.422413793103445
punk,226,41.88495575221239
house,210,32.09047619047619
indie,134,34.350746268656714
reggaeton,74,48.270270270270274
